List,Accession,Symbol,Protein Name,Proteomics,No. of peptides,MaxScore,Vasomotricity,BBB-Specific Proteins,Tight Junction and/or Adhesion Proteins,Membrane Transporter and Channel Proteins,ECM and Basal Lamina Proteins,Chun et al.,,
List 1 and 2,P48678,LMNA,Prelamin-A/C,Both,88,173,,Yes,,,,Yes,,
List 1 and 2,P63038,HSPD1,"60 kDa heat shock protein, mitochondrial",Both,33,167,,,,,,,,
List 1 and 2,P62737,ACTA2,"Actin, aortic smooth muscle",Both,16,167,,Yes,,,,Yes,,
List 1 and 2,Q9D0K2,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Both,17,162,,,,,,,,
List 1 and 2,Q03265,ATP5A1,"ATP synthase subunit alpha, mitochondrial",Both,44,161,,,,Yes,,Yes,,
List 1 and 2,Q62188,DPYSL3,Dihydropyrimidinase-related protein 3,Both,28,161,,,,,,,,
List 1 and 2,P16858,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,Both,22,159,,,,,,,,
List 1 and 2,P26039,TLN1,Talin-1,Both,119,157,,,,,,,,
List 1 and 2,P60710,ACTB,"Actin, cytoplasmic 1",Both,23,151,,,,,,,,
List 1 and 2,Q04857,COL6A1,Collagen alpha-1(VI) chain,Both,32,150,,,,,Yes,,,
List 1 and 2,Q61292,LAMB2,Laminin subunit beta-2,Both,71,147,,,,,Yes,Yes,,
List 1 and 2,O54724,PTRF,Polymerase I and transcript release factor,Both,28,147,,,,,,,,
List 1 and 2,P63268,ACTG2,"Actin, gamma-enteric smooth muscle",Both,20,146,,,,,,,,
List 1 and 2,Q61001,LAMA5,Laminin subunit alpha-5,Both,74,146,,,,,Yes,Yes,,
List 1 and 2,Q8BTM8,FLNA,Filamin-A,Both,228,145,,Yes,,,,Yes,,
List 1 and 2,Q9WVA4,TAGLN2,Transgelin-2,Both,26,145,,,,,,,,
List 1 and 2,P68372,TUBB2C,Tubulin beta-4B chain,Both,7,145,,,,,,,,
List 1 and 2,Q7TPR4,ACTN1,Alpha-actinin-1,Both,86,144,,,,,,,,
List 1 and 2,Q61879,MYH10,Myosin-10,Both,29,143,,,,,,,,
List 1 and 2,O08638,MYH11,Myosin-11,Both,238,143,,,,,,,,
List 1 and 2,P80314,CCT2,T-complex protein 1 subunit beta,Both,11,143,,,,,,,,
List 1 and 2,P05064,ALDOA,Fructose-bisphosphate aldolase A,Both,19,142,,,,,,,,
List 1 and 2,O88569,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,Both,22,142,,,,,,,,
List 1 and 2,Q60932,VDAC1,Voltage-dependent anion-selective channel protein 1,Both,18,142,,,,,,,,
List 1 and 2,Q6PIC6,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3,Both,5,141,,,,Yes,,Yes,,
List 1 and 2,P02468,LAMC1,Laminin subunit gamma-1,Both,56,139,,,,,Yes,Yes,,
List 1 and 2,Q6PDN3,MYLK,"Myosin light chain kinase, smooth muscle",Both,65,139,Yes,,,,,,,
List 1 and 2,Q04447,CKB,Creatine kinase B-type,Both,28,138,,,,,,,,
List 1 and 2,Q8BG05,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,Both,13,138,,,,,,,,
List 1 and 2,P21981,TGM2,Protein-glutamine gamma-glutamyltransferase 2,Both,46,138,,,,,,,,
List 1 and 2,Q3TJD7,PDLIM7,PDZ and LIM domain protein 7,Both,27,137,,,,,,,,
List 1 and 2,P63101,YWHAZ,14-3-3 protein zeta/delta,Both,16,136,,,,,,,,
List 1 and 2,Q8BP92,RCN2,Reticulocalbin-2,Both,5,136,,,,,,,,
List 1 and 2,P56480,ATP5B,"ATP synthase subunit beta, mitochondrial",Both,49,135,,,,Yes,,Yes,,
List 1 and 2,Q05793,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Both,102,135,,,,,Yes,Yes,,
List 1 and 2,Q8BH64,EHD2,EH domain-containing protein 2,Both,30,135,,,,,,,,
List 1 and 2,Q6PIE5,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2,Both,37,135,,,,Yes,,Yes,,
List 1 and 2,P20152,VIM,Vimentin,Both,91,135,,Yes,,,,Yes,,
List 1 and 2,P18760,CFL1,Cofilin-1,Both,10,134,,,,,,,,
List 1 and 2,P09103,P4HB,Protein disulfide-isomerase,Both,17,133,,,,,,,,
List 1 and 2,P57780,ACTN4,Alpha-actinin-4,Both,89,132,,,,,,,,
